_id,Year,Month,Geography_Type,Strata,Strata_Name,Cause,Cause_Desc,ICD_Revision,Count,Annotation_Code,Annotation_Desc,Data_Extract_Date,Data_Revision_Date,report_month,data_extract_date,data_revision_date,is_suppressed,suppression_type,count_numeric,is_total_population,is_all_cause,report_month_label
2,2024,1,Occurrence,Age,Under 1 year,ALL,All causes (total),ICD-10,132.0,,,02/17/2026,02/17/2026,2024-01-01,2026-02-17,2026-02-17,False,,132.0,False,True,2024-01
3,2024,1,Occurrence,Age,1-4 years,ALL,All causes (total),ICD-10,24.0,,,02/17/2026,02/17/2026,2024-01-01,2026-02-17,2026-02-17,False,,24.0,False,True,2024-01
4,2024,1,Occurrence,Age,5-14 years,ALL,All causes (total),ICD-10,53.0,,,02/17/2026,02/17/2026,2024-01-01,2026-02-17,2026-02-17,False,,53.0,False,True,2024-01
5,2024,1,Occurrence,Age,15-24 years,ALL,All causes (total),ICD-10,264.0,,,02/17/2026,02/17/2026,2024-01-01,2026-02-17,2026-02-17,False,,264.0,False,True,2024-01
6,2024,1,Occurrence,Age,25-34 years,ALL,All causes (total),ICD-10,581.0,,,02/17/2026,02/17/2026,2024-01-01,2026-02-17,2026-02-17,False,,581.0,False,True,2024-01
7,2024,1,Occurrence,Age,35-44 years,ALL,All causes (total),ICD-10,930.0,,,02/17/2026,02/17/2026,2024-01-01,2026-02-17,2026-02-17,False,,930.0,False,True,2024-01
8,2024,1,Occurrence,Age,45-54 years,ALL,All causes (total),ICD-10,1440.0,,,02/17/2026,02/17/2026,2024-01-01,2026-02-17,2026-02-17,False,,1440.0,False,True,2024-01
9,2024,1,Occurrence,Age,55-64 years,ALL,All causes (total),ICD-10,3133.0,,,02/17/2026,02/17/2026,2024-01-01,2026-02-17,2026-02-17,False,,3133.0,False,True,2024-01
10,2024,1,Occurrence,Age,65-74 years,ALL,All causes (total),ICD-10,5315.0,,,02/17/2026,02/17/2026,2024-01-01,2026-02-17,2026-02-17,False,,5315.0,False,True,2024-01
11,2024,1,Occurrence,Age,75-84 years,ALL,All causes (total),ICD-10,6823.0,,,02/17/2026,02/17/2026,2024-01-01,2026-02-17,2026-02-17,False,,6823.0,False,True,2024-01
12,2024,1,Occurrence,Age,85 years and over,ALL,All causes (total),ICD-10,9030.0,,,02/17/2026,02/17/2026,2024-01-01,2026-02-17,2026-02-17,False,,9030.0,False,True,2024-01
184,2024,2,Occurrence,Age,Under 1 year,ALL,All causes (total),ICD-10,132.0,,,02/17/2026,02/17/2026,2024-02-01,2026-02-17,2026-02-17,False,,132.0,False,True,2024-02
185,2024,2,Occurrence,Age,1-4 years,ALL,All causes (total),ICD-10,26.0,,,02/17/2026,02/17/2026,2024-02-01,2026-02-17,2026-02-17,False,,26.0,False,True,2024-02
186,2024,2,Occurrence,Age,5-14 years,ALL,All causes (total),ICD-10,55.0,,,02/17/2026,02/17/2026,2024-02-01,2026-02-17,2026-02-17,False,,55.0,False,True,2024-02
