_id,Year,Month,Geography_Type,Strata,Strata_Name,Cause,Cause_Desc,ICD_Revision,Count,Annotation_Code,Annotation_Desc,Data_Extract_Date,Data_Revision_Date,report_month,data_extract_date,data_revision_date,is_suppressed,suppression_type,count_numeric,is_total_population,is_all_cause,report_month_label
1,2024,1,Occurrence,Total Population,Total Population,ALL,All causes (total),ICD-10,27728.0,,,02/17/2026,02/17/2026,2024-01-01,2026-02-17,2026-02-17,False,,27728.0,True,True,2024-01
2,2024,1,Occurrence,Age,Under 1 year,ALL,All causes (total),ICD-10,132.0,,,02/17/2026,02/17/2026,2024-01-01,2026-02-17,2026-02-17,False,,132.0,False,True,2024-01
3,2024,1,Occurrence,Age,1-4 years,ALL,All causes (total),ICD-10,24.0,,,02/17/2026,02/17/2026,2024-01-01,2026-02-17,2026-02-17,False,,24.0,False,True,2024-01
4,2024,1,Occurrence,Age,5-14 years,ALL,All causes (total),ICD-10,53.0,,,02/17/2026,02/17/2026,2024-01-01,2026-02-17,2026-02-17,False,,53.0,False,True,2024-01
5,2024,1,Occurrence,Age,15-24 years,ALL,All causes (total),ICD-10,264.0,,,02/17/2026,02/17/2026,2024-01-01,2026-02-17,2026-02-17,False,,264.0,False,True,2024-01
6,2024,1,Occurrence,Age,25-34 years,ALL,All causes (total),ICD-10,581.0,,,02/17/2026,02/17/2026,2024-01-01,2026-02-17,2026-02-17,False,,581.0,False,True,2024-01
7,2024,1,Occurrence,Age,35-44 years,ALL,All causes (total),ICD-10,930.0,,,02/17/2026,02/17/2026,2024-01-01,2026-02-17,2026-02-17,False,,930.0,False,True,2024-01
8,2024,1,Occurrence,Age,45-54 years,ALL,All causes (total),ICD-10,1440.0,,,02/17/2026,02/17/2026,2024-01-01,2026-02-17,2026-02-17,False,,1440.0,False,True,2024-01
9,2024,1,Occurrence,Age,55-64 years,ALL,All causes (total),ICD-10,3133.0,,,02/17/2026,02/17/2026,2024-01-01,2026-02-17,2026-02-17,False,,3133.0,False,True,2024-01
10,2024,1,Occurrence,Age,65-74 years,ALL,All causes (total),ICD-10,5315.0,,,02/17/2026,02/17/2026,2024-01-01,2026-02-17,2026-02-17,False,,5315.0,False,True,2024-01
11,2024,1,Occurrence,Age,75-84 years,ALL,All causes (total),ICD-10,6823.0,,,02/17/2026,02/17/2026,2024-01-01,2026-02-17,2026-02-17,False,,6823.0,False,True,2024-01
12,2024,1,Occurrence,Age,85 years and over,ALL,All causes (total),ICD-10,9030.0,,,02/17/2026,02/17/2026,2024-01-01,2026-02-17,2026-02-17,False,,9030.0,False,True,2024-01
13,2024,1,Occurrence,Gender,Female,ALL,All causes (total),ICD-10,13100.0,,,02/17/2026,02/17/2026,2024-01-01,2026-02-17,2026-02-17,False,,13100.0,False,True,2024-01
14,2024,1,Occurrence,Gender,Male,ALL,All causes (total),ICD-10,14627.0,,,02/17/2026,02/17/2026,2024-01-01,2026-02-17,2026-02-17,False,,14627.0,False,True,2024-01
15,2024,1,Occurrence,Place Type,Inpatient,ALL,All causes (total),ICD-10,9000.0,,,02/17/2026,02/17/2026,2024-01-01,2026-02-17,2026-02-17,False,,9000.0,False,True,2024-01
16,2024,1,Occurrence,Place Type,Emergency Room/Outpatient,ALL,All causes (total),ICD-10,1493.0,,,02/17/2026,02/17/2026,2024-01-01,2026-02-17,2026-02-17,False,,1493.0,False,True,2024-01
17,2024,1,Occurrence,Place Type,Decedent's Home,ALL,All causes (total),ICD-10,10359.0,,,02/17/2026,02/17/2026,2024-01-01,2026-02-17,2026-02-17,False,,10359.0,False,True,2024-01
18,2024,1,Occurrence,Place Type,Hospice Facility,ALL,All causes (total),ICD-10,257.0,,,02/17/2026,02/17/2026,2024-01-01,2026-02-17,2026-02-17,False,,257.0,False,True,2024-01
19,2024,1,Occurrence,Place Type,Nursing Home/Long Term Care Facility,ALL,All causes (total),ICD-10,2181.0,,,02/17/2026,02/17/2026,2024-01-01,2026-02-17,2026-02-17,False,,2181.0,False,True,2024-01
20,2024,1,Occurrence,Place Type,Other/Unknown,ALL,All causes (total),ICD-10,4438.0,,,02/17/2026,02/17/2026,2024-01-01,2026-02-17,2026-02-17,False,,4438.0,False,True,2024-01
21,2024,1,Occurrence,Race-Ethnicity,American Indian/Alaska Native,ALL,All causes (total),ICD-10,120.0,,,02/17/2026,02/17/2026,2024-01-01,2026-02-17,2026-02-17,False,,120.0,False,True,2024-01
22,2024,1,Occurrence,Race-Ethnicity,Asian,ALL,All causes (total),ICD-10,3160.0,,,02/17/2026,02/17/2026,2024-01-01,2026-02-17,2026-02-17,False,,3160.0,False,True,2024-01
23,2024,1,Occurrence,Race-Ethnicity,Black,ALL,All causes (total),ICD-10,2204.0,,,02/17/2026,02/17/2026,2024-01-01,2026-02-17,2026-02-17,False,,2204.0,False,True,2024-01
24,2024,1,Occurrence,Race-Ethnicity,Hawaiian/Pacific Islander,ALL,All causes (total),ICD-10,123.0,,,02/17/2026,02/17/2026,2024-01-01,2026-02-17,2026-02-17,False,,123.0,False,True,2024-01
25,2024,1,Occurrence,Race-Ethnicity,Hispanic,ALL,All causes (total),ICD-10,6217.0,,,02/17/2026,02/17/2026,2024-01-01,2026-02-17,2026-02-17,False,,6217.0,False,True,2024-01
26,2024,1,Occurrence,Race-Ethnicity,Multi-Race,ALL,All causes (total),ICD-10,267.0,,,02/17/2026,02/17/2026,2024-01-01,2026-02-17,2026-02-17,False,,267.0,False,True,2024-01
27,2024,1,Occurrence,Race-Ethnicity,White,ALL,All causes (total),ICD-10,15406.0,,,02/17/2026,02/17/2026,2024-01-01,2026-02-17,2026-02-17,False,,15406.0,False,True,2024-01
28,2024,1,Occurrence,Race-Ethnicity,Other/Unknown,ALL,All causes (total),ICD-10,231.0,,,02/17/2026,02/17/2026,2024-01-01,2026-02-17,2026-02-17,False,,231.0,False,True,2024-01
29,2024,1,Occurrence,Total Population,Total Population,ALZ,Alzheimer's disease,ICD-10,1664.0,,,02/17/2026,02/17/2026,2024-01-01,2026-02-17,2026-02-17,False,,1664.0,True,False,2024-01
30,2024,1,Occurrence,Gender,Female,ALZ,Alzheimer's disease,ICD-10,1122.0,,,02/17/2026,02/17/2026,2024-01-01,2026-02-17,2026-02-17,False,,1122.0,False,False,2024-01
