_id,Year,Month,Geography_Type,Strata,Strata_Name,Cause,Cause_Desc,ICD_Revision,Count,Annotation_Code,Annotation_Desc,Data_Extract_Date,Data_Revision_Date,report_month,data_extract_date,data_revision_date,is_suppressed,suppression_type,count_numeric,is_total_population,is_all_cause,report_month_label
13,2024,1,Occurrence,Gender,Female,ALL,All causes (total),ICD-10,13100.0,,,02/17/2026,02/17/2026,2024-01-01,2026-02-17,2026-02-17,False,,13100.0,False,True,2024-01
14,2024,1,Occurrence,Gender,Male,ALL,All causes (total),ICD-10,14627.0,,,02/17/2026,02/17/2026,2024-01-01,2026-02-17,2026-02-17,False,,14627.0,False,True,2024-01
30,2024,1,Occurrence,Gender,Female,ALZ,Alzheimer's disease,ICD-10,1122.0,,,02/17/2026,02/17/2026,2024-01-01,2026-02-17,2026-02-17,False,,1122.0,False,False,2024-01
31,2024,1,Occurrence,Gender,Male,ALZ,Alzheimer's disease,ICD-10,542.0,,,02/17/2026,02/17/2026,2024-01-01,2026-02-17,2026-02-17,False,,542.0,False,False,2024-01
41,2024,1,Occurrence,Gender,Female,CAN,Malignant neoplasms,ICD-10,2647.0,,,02/17/2026,02/17/2026,2024-01-01,2026-02-17,2026-02-17,False,,2647.0,False,False,2024-01
42,2024,1,Occurrence,Gender,Male,CAN,Malignant neoplasms,ICD-10,2751.0,,,02/17/2026,02/17/2026,2024-01-01,2026-02-17,2026-02-17,False,,2751.0,False,False,2024-01
52,2024,1,Occurrence,Gender,Female,CLD,Chronic lower respiratory diseases,ICD-10,592.0,,,02/17/2026,02/17/2026,2024-01-01,2026-02-17,2026-02-17,False,,592.0,False,False,2024-01
53,2024,1,Occurrence,Gender,Male,CLD,Chronic lower respiratory diseases,ICD-10,584.0,,,02/17/2026,02/17/2026,2024-01-01,2026-02-17,2026-02-17,False,,584.0,False,False,2024-01
63,2024,1,Occurrence,Gender,Female,DIA,Diabetes mellitus,ICD-10,490.0,,,02/17/2026,02/17/2026,2024-01-01,2026-02-17,2026-02-17,False,,490.0,False,False,2024-01
64,2024,1,Occurrence,Gender,Male,DIA,Diabetes mellitus,ICD-10,600.0,,,02/17/2026,02/17/2026,2024-01-01,2026-02-17,2026-02-17,False,,600.0,False,False,2024-01
