_id,Year,Month,Geography_Type,Strata,Strata_Name,Cause,Cause_Desc,ICD_Revision,Count,Annotation_Code,Annotation_Desc,Data_Extract_Date,Data_Revision_Date,report_month,data_extract_date,data_revision_date,is_suppressed,suppression_type,count_numeric,is_total_population,is_all_cause,report_month_label
15,2024,1,Occurrence,Place Type,Inpatient,ALL,All causes (total),ICD-10,9000.0,,,02/17/2026,02/17/2026,2024-01-01,2026-02-17,2026-02-17,False,,9000.0,False,True,2024-01
16,2024,1,Occurrence,Place Type,Emergency Room/Outpatient,ALL,All causes (total),ICD-10,1493.0,,,02/17/2026,02/17/2026,2024-01-01,2026-02-17,2026-02-17,False,,1493.0,False,True,2024-01
17,2024,1,Occurrence,Place Type,Decedent's Home,ALL,All causes (total),ICD-10,10359.0,,,02/17/2026,02/17/2026,2024-01-01,2026-02-17,2026-02-17,False,,10359.0,False,True,2024-01
18,2024,1,Occurrence,Place Type,Hospice Facility,ALL,All causes (total),ICD-10,257.0,,,02/17/2026,02/17/2026,2024-01-01,2026-02-17,2026-02-17,False,,257.0,False,True,2024-01
19,2024,1,Occurrence,Place Type,Nursing Home/Long Term Care Facility,ALL,All causes (total),ICD-10,2181.0,,,02/17/2026,02/17/2026,2024-01-01,2026-02-17,2026-02-17,False,,2181.0,False,True,2024-01
20,2024,1,Occurrence,Place Type,Other/Unknown,ALL,All causes (total),ICD-10,4438.0,,,02/17/2026,02/17/2026,2024-01-01,2026-02-17,2026-02-17,False,,4438.0,False,True,2024-01
197,2024,2,Occurrence,Place Type,Inpatient,ALL,All causes (total),ICD-10,7640.0,,,02/17/2026,02/17/2026,2024-02-01,2026-02-17,2026-02-17,False,,7640.0,False,True,2024-02
198,2024,2,Occurrence,Place Type,Emergency Room/Outpatient,ALL,All causes (total),ICD-10,1228.0,,,02/17/2026,02/17/2026,2024-02-01,2026-02-17,2026-02-17,False,,1228.0,False,True,2024-02
199,2024,2,Occurrence,Place Type,Decedent's Home,ALL,All causes (total),ICD-10,8962.0,,,02/17/2026,02/17/2026,2024-02-01,2026-02-17,2026-02-17,False,,8962.0,False,True,2024-02
200,2024,2,Occurrence,Place Type,Hospice Facility,ALL,All causes (total),ICD-10,212.0,,,02/17/2026,02/17/2026,2024-02-01,2026-02-17,2026-02-17,False,,212.0,False,True,2024-02
