_id,Year,Month,Geography_Type,Strata,Strata_Name,Cause,Cause_Desc,ICD_Revision,Count,Annotation_Code,Annotation_Desc,Data_Extract_Date,Data_Revision_Date,report_month,data_extract_date,data_revision_date,is_suppressed,suppression_type,count_numeric,is_total_population,is_all_cause,report_month_label
21,2024,1,Occurrence,Race-Ethnicity,American Indian/Alaska Native,ALL,All causes (total),ICD-10,120.0,,,02/17/2026,02/17/2026,2024-01-01,2026-02-17,2026-02-17,False,,120.0,False,True,2024-01
22,2024,1,Occurrence,Race-Ethnicity,Asian,ALL,All causes (total),ICD-10,3160.0,,,02/17/2026,02/17/2026,2024-01-01,2026-02-17,2026-02-17,False,,3160.0,False,True,2024-01
23,2024,1,Occurrence,Race-Ethnicity,Black,ALL,All causes (total),ICD-10,2204.0,,,02/17/2026,02/17/2026,2024-01-01,2026-02-17,2026-02-17,False,,2204.0,False,True,2024-01
24,2024,1,Occurrence,Race-Ethnicity,Hawaiian/Pacific Islander,ALL,All causes (total),ICD-10,123.0,,,02/17/2026,02/17/2026,2024-01-01,2026-02-17,2026-02-17,False,,123.0,False,True,2024-01
25,2024,1,Occurrence,Race-Ethnicity,Hispanic,ALL,All causes (total),ICD-10,6217.0,,,02/17/2026,02/17/2026,2024-01-01,2026-02-17,2026-02-17,False,,6217.0,False,True,2024-01
26,2024,1,Occurrence,Race-Ethnicity,Multi-Race,ALL,All causes (total),ICD-10,267.0,,,02/17/2026,02/17/2026,2024-01-01,2026-02-17,2026-02-17,False,,267.0,False,True,2024-01
27,2024,1,Occurrence,Race-Ethnicity,White,ALL,All causes (total),ICD-10,15406.0,,,02/17/2026,02/17/2026,2024-01-01,2026-02-17,2026-02-17,False,,15406.0,False,True,2024-01
28,2024,1,Occurrence,Race-Ethnicity,Other/Unknown,ALL,All causes (total),ICD-10,231.0,,,02/17/2026,02/17/2026,2024-01-01,2026-02-17,2026-02-17,False,,231.0,False,True,2024-01
32,2024,1,Occurrence,Race-Ethnicity,American Indian/Alaska Native,ALZ,Alzheimer's disease,ICD-10,,1,Cell suppressed for small numbers,02/17/2026,02/17/2026,2024-01-01,2026-02-17,2026-02-17,True,Cell suppressed for small numbers,,False,False,2024-01
33,2024,1,Occurrence,Race-Ethnicity,Asian,ALZ,Alzheimer's disease,ICD-10,204.0,,,02/17/2026,02/17/2026,2024-01-01,2026-02-17,2026-02-17,False,,204.0,False,False,2024-01
34,2024,1,Occurrence,Race-Ethnicity,Black,ALZ,Alzheimer's disease,ICD-10,100.0,,,02/17/2026,02/17/2026,2024-01-01,2026-02-17,2026-02-17,False,,100.0,False,False,2024-01
