_id,Year,Month,Geography_Type,Strata,Strata_Name,Cause,Cause_Desc,ICD_Revision,Count,Annotation_Code,Annotation_Desc,Data_Extract_Date,Data_Revision_Date,report_month,data_extract_date,data_revision_date,is_suppressed,suppression_type,count_numeric,is_total_population,is_all_cause,report_month_label
29,2024,1,Occurrence,Total Population,Total Population,ALZ,Alzheimer's disease,ICD-10,1664.0,,,02/17/2026,02/17/2026,2024-01-01,2026-02-17,2026-02-17,False,,1664.0,True,False,2024-01
40,2024,1,Occurrence,Total Population,Total Population,CAN,Malignant neoplasms,ICD-10,5399.0,,,02/17/2026,02/17/2026,2024-01-01,2026-02-17,2026-02-17,False,,5399.0,True,False,2024-01
51,2024,1,Occurrence,Total Population,Total Population,CLD,Chronic lower respiratory diseases,ICD-10,1176.0,,,02/17/2026,02/17/2026,2024-01-01,2026-02-17,2026-02-17,False,,1176.0,True,False,2024-01
62,2024,1,Occurrence,Total Population,Total Population,DIA,Diabetes mellitus,ICD-10,1090.0,,,02/17/2026,02/17/2026,2024-01-01,2026-02-17,2026-02-17,False,,1090.0,True,False,2024-01
73,2024,1,Occurrence,Total Population,Total Population,HOM,Assault (homicide),ICD-10,159.0,,,02/17/2026,02/17/2026,2024-01-01,2026-02-17,2026-02-17,False,,159.0,True,False,2024-01
84,2024,1,Occurrence,Total Population,Total Population,HTD,Diseases of heart,ICD-10,5948.0,,,02/17/2026,02/17/2026,2024-01-01,2026-02-17,2026-02-17,False,,5948.0,True,False,2024-01
95,2024,1,Occurrence,Total Population,Total Population,HYP,Essential hypertension and hypertensive renal disease,ICD-10,642.0,,,02/17/2026,02/17/2026,2024-01-01,2026-02-17,2026-02-17,False,,642.0,True,False,2024-01
106,2024,1,Occurrence,Total Population,Total Population,INJ,Accidents (unintentional injuries),ICD-10,1759.0,,,02/17/2026,02/17/2026,2024-01-01,2026-02-17,2026-02-17,False,,1759.0,True,False,2024-01
117,2024,1,Occurrence,Total Population,Total Population,LIV,Chronic liver disease and cirrhosis,ICD-10,548.0,,,02/17/2026,02/17/2026,2024-01-01,2026-02-17,2026-02-17,False,,548.0,True,False,2024-01
128,2024,1,Occurrence,Total Population,Total Population,NEP,"Nephritis, nephrotic syndrome and nephrosis",ICD-10,493.0,,,02/17/2026,02/17/2026,2024-01-01,2026-02-17,2026-02-17,False,,493.0,True,False,2024-01
139,2024,1,Occurrence,Total Population,Total Population,PAR,Parkinson's disease,ICD-10,378.0,,,02/17/2026,02/17/2026,2024-01-01,2026-02-17,2026-02-17,False,,378.0,True,False,2024-01
150,2024,1,Occurrence,Total Population,Total Population,PNF,Influenza and pneumonia,ICD-10,798.0,,,02/17/2026,02/17/2026,2024-01-01,2026-02-17,2026-02-17,False,,798.0,True,False,2024-01
161,2024,1,Occurrence,Total Population,Total Population,STK,Cerebrovascular diseases,ICD-10,1645.0,,,02/17/2026,02/17/2026,2024-01-01,2026-02-17,2026-02-17,False,,1645.0,True,False,2024-01
172,2024,1,Occurrence,Total Population,Total Population,SUI,Intentional self-harm (suicide),ICD-10,362.0,,,02/17/2026,02/17/2026,2024-01-01,2026-02-17,2026-02-17,False,,362.0,True,False,2024-01
211,2024,2,Occurrence,Total Population,Total Population,ALZ,Alzheimer's disease,ICD-10,1315.0,,,02/17/2026,02/17/2026,2024-02-01,2026-02-17,2026-02-17,False,,1315.0,True,False,2024-02
222,2024,2,Occurrence,Total Population,Total Population,CAN,Malignant neoplasms,ICD-10,4902.0,,,02/17/2026,02/17/2026,2024-02-01,2026-02-17,2026-02-17,False,,4902.0,True,False,2024-02
233,2024,2,Occurrence,Total Population,Total Population,CLD,Chronic lower respiratory diseases,ICD-10,928.0,,,02/17/2026,02/17/2026,2024-02-01,2026-02-17,2026-02-17,False,,928.0,True,False,2024-02
244,2024,2,Occurrence,Total Population,Total Population,DIA,Diabetes mellitus,ICD-10,949.0,,,02/17/2026,02/17/2026,2024-02-01,2026-02-17,2026-02-17,False,,949.0,True,False,2024-02
255,2024,2,Occurrence,Total Population,Total Population,HOM,Assault (homicide),ICD-10,144.0,,,02/17/2026,02/17/2026,2024-02-01,2026-02-17,2026-02-17,False,,144.0,True,False,2024-02
266,2024,2,Occurrence,Total Population,Total Population,HTD,Diseases of heart,ICD-10,5155.0,,,02/17/2026,02/17/2026,2024-02-01,2026-02-17,2026-02-17,False,,5155.0,True,False,2024-02
277,2024,2,Occurrence,Total Population,Total Population,HYP,Essential hypertension and hypertensive renal disease,ICD-10,536.0,,,02/17/2026,02/17/2026,2024-02-01,2026-02-17,2026-02-17,False,,536.0,True,False,2024-02
288,2024,2,Occurrence,Total Population,Total Population,INJ,Accidents (unintentional injuries),ICD-10,1678.0,,,02/17/2026,02/17/2026,2024-02-01,2026-02-17,2026-02-17,False,,1678.0,True,False,2024-02
299,2024,2,Occurrence,Total Population,Total Population,LIV,Chronic liver disease and cirrhosis,ICD-10,522.0,,,02/17/2026,02/17/2026,2024-02-01,2026-02-17,2026-02-17,False,,522.0,True,False,2024-02
310,2024,2,Occurrence,Total Population,Total Population,NEP,"Nephritis, nephrotic syndrome and nephrosis",ICD-10,367.0,,,02/17/2026,02/17/2026,2024-02-01,2026-02-17,2026-02-17,False,,367.0,True,False,2024-02
321,2024,2,Occurrence,Total Population,Total Population,PAR,Parkinson's disease,ICD-10,337.0,,,02/17/2026,02/17/2026,2024-02-01,2026-02-17,2026-02-17,False,,337.0,True,False,2024-02
332,2024,2,Occurrence,Total Population,Total Population,PNF,Influenza and pneumonia,ICD-10,513.0,,,02/17/2026,02/17/2026,2024-02-01,2026-02-17,2026-02-17,False,,513.0,True,False,2024-02
343,2024,2,Occurrence,Total Population,Total Population,STK,Cerebrovascular diseases,ICD-10,1437.0,,,02/17/2026,02/17/2026,2024-02-01,2026-02-17,2026-02-17,False,,1437.0,True,False,2024-02
