_id,Year,Month,Geography_Type,Strata,Strata_Name,Cause,Cause_Desc,ICD_Revision,Count,Annotation_Code,Annotation_Desc,Data_Extract_Date,Data_Revision_Date
1,2024,01,Occurrence,Total Population,Total Population,ALL,All causes (total),ICD-10,27728.0,,,02/17/2026,02/17/2026
2,2024,01,Occurrence,Age,Under 1 year,ALL,All causes (total),ICD-10,132.0,,,02/17/2026,02/17/2026
3,2024,01,Occurrence,Age,1-4 years,ALL,All causes (total),ICD-10,24.0,,,02/17/2026,02/17/2026
4,2024,01,Occurrence,Age,5-14 years,ALL,All causes (total),ICD-10,53.0,,,02/17/2026,02/17/2026
5,2024,01,Occurrence,Age,15-24 years,ALL,All causes (total),ICD-10,264.0,,,02/17/2026,02/17/2026
6,2024,01,Occurrence,Age,25-34 years,ALL,All causes (total),ICD-10,581.0,,,02/17/2026,02/17/2026
7,2024,01,Occurrence,Age,35-44 years,ALL,All causes (total),ICD-10,930.0,,,02/17/2026,02/17/2026
8,2024,01,Occurrence,Age,45-54 years,ALL,All causes (total),ICD-10,1440.0,,,02/17/2026,02/17/2026
9,2024,01,Occurrence,Age,55-64 years,ALL,All causes (total),ICD-10,3133.0,,,02/17/2026,02/17/2026
10,2024,01,Occurrence,Age,65-74 years,ALL,All causes (total),ICD-10,5315.0,,,02/17/2026,02/17/2026
11,2024,01,Occurrence,Age,75-84 years,ALL,All causes (total),ICD-10,6823.0,,,02/17/2026,02/17/2026
12,2024,01,Occurrence,Age,85 years and over,ALL,All causes (total),ICD-10,9030.0,,,02/17/2026,02/17/2026
13,2024,01,Occurrence,Gender,Female,ALL,All causes (total),ICD-10,13100.0,,,02/17/2026,02/17/2026
14,2024,01,Occurrence,Gender,Male,ALL,All causes (total),ICD-10,14627.0,,,02/17/2026,02/17/2026
15,2024,01,Occurrence,Place Type,Inpatient,ALL,All causes (total),ICD-10,9000.0,,,02/17/2026,02/17/2026
16,2024,01,Occurrence,Place Type,Emergency Room/Outpatient,ALL,All causes (total),ICD-10,1493.0,,,02/17/2026,02/17/2026
17,2024,01,Occurrence,Place Type,Decedent's Home,ALL,All causes (total),ICD-10,10359.0,,,02/17/2026,02/17/2026
18,2024,01,Occurrence,Place Type,Hospice Facility,ALL,All causes (total),ICD-10,257.0,,,02/17/2026,02/17/2026
19,2024,01,Occurrence,Place Type,Nursing Home/Long Term Care Facility,ALL,All causes (total),ICD-10,2181.0,,,02/17/2026,02/17/2026
20,2024,01,Occurrence,Place Type,Other/Unknown,ALL,All causes (total),ICD-10,4438.0,,,02/17/2026,02/17/2026
21,2024,01,Occurrence,Race-Ethnicity,American Indian/Alaska Native,ALL,All causes (total),ICD-10,120.0,,,02/17/2026,02/17/2026
22,2024,01,Occurrence,Race-Ethnicity,Asian,ALL,All causes (total),ICD-10,3160.0,,,02/17/2026,02/17/2026
23,2024,01,Occurrence,Race-Ethnicity,Black,ALL,All causes (total),ICD-10,2204.0,,,02/17/2026,02/17/2026
24,2024,01,Occurrence,Race-Ethnicity,Hawaiian/Pacific Islander,ALL,All causes (total),ICD-10,123.0,,,02/17/2026,02/17/2026
25,2024,01,Occurrence,Race-Ethnicity,Hispanic,ALL,All causes (total),ICD-10,6217.0,,,02/17/2026,02/17/2026
26,2024,01,Occurrence,Race-Ethnicity,Multi-Race,ALL,All causes (total),ICD-10,267.0,,,02/17/2026,02/17/2026
27,2024,01,Occurrence,Race-Ethnicity,White,ALL,All causes (total),ICD-10,15406.0,,,02/17/2026,02/17/2026
28,2024,01,Occurrence,Race-Ethnicity,Other/Unknown,ALL,All causes (total),ICD-10,231.0,,,02/17/2026,02/17/2026
29,2024,01,Occurrence,Total Population,Total Population,ALZ,Alzheimer's disease,ICD-10,1664.0,,,02/17/2026,02/17/2026
30,2024,01,Occurrence,Gender,Female,ALZ,Alzheimer's disease,ICD-10,1122.0,,,02/17/2026,02/17/2026
31,2024,01,Occurrence,Gender,Male,ALZ,Alzheimer's disease,ICD-10,542.0,,,02/17/2026,02/17/2026
32,2024,01,Occurrence,Race-Ethnicity,American Indian/Alaska Native,ALZ,Alzheimer's disease,ICD-10,,1,Cell suppressed for small numbers,02/17/2026,02/17/2026
33,2024,01,Occurrence,Race-Ethnicity,Asian,ALZ,Alzheimer's disease,ICD-10,204.0,,,02/17/2026,02/17/2026
34,2024,01,Occurrence,Race-Ethnicity,Black,ALZ,Alzheimer's disease,ICD-10,100.0,,,02/17/2026,02/17/2026
35,2024,01,Occurrence,Race-Ethnicity,Hawaiian/Pacific Islander,ALZ,Alzheimer's disease,ICD-10,,1,Cell suppressed for small numbers,02/17/2026,02/17/2026
36,2024,01,Occurrence,Race-Ethnicity,Hispanic,ALZ,Alzheimer's disease,ICD-10,289.0,,,02/17/2026,02/17/2026
37,2024,01,Occurrence,Race-Ethnicity,Multi-Race,ALZ,Alzheimer's disease,ICD-10,12.0,,,02/17/2026,02/17/2026
38,2024,01,Occurrence,Race-Ethnicity,White,ALZ,Alzheimer's disease,ICD-10,1051.0,,,02/17/2026,02/17/2026
39,2024,01,Occurrence,Race-Ethnicity,Other/Unknown,ALZ,Alzheimer's disease,ICD-10,,1,Cell suppressed for small numbers,02/17/2026,02/17/2026
40,2024,01,Occurrence,Total Population,Total Population,CAN,Malignant neoplasms,ICD-10,5399.0,,,02/17/2026,02/17/2026
41,2024,01,Occurrence,Gender,Female,CAN,Malignant neoplasms,ICD-10,2647.0,,,02/17/2026,02/17/2026
42,2024,01,Occurrence,Gender,Male,CAN,Malignant neoplasms,ICD-10,2751.0,,,02/17/2026,02/17/2026
43,2024,01,Occurrence,Race-Ethnicity,American Indian/Alaska Native,CAN,Malignant neoplasms,ICD-10,21.0,,,02/17/2026,02/17/2026
44,2024,01,Occurrence,Race-Ethnicity,Asian,CAN,Malignant neoplasms,ICD-10,684.0,,,02/17/2026,02/17/2026
45,2024,01,Occurrence,Race-Ethnicity,Black,CAN,Malignant neoplasms,ICD-10,405.0,,,02/17/2026,02/17/2026
46,2024,01,Occurrence,Race-Ethnicity,Hawaiian/Pacific Islander,CAN,Malignant neoplasms,ICD-10,27.0,,,02/17/2026,02/17/2026
47,2024,01,Occurrence,Race-Ethnicity,Hispanic,CAN,Malignant neoplasms,ICD-10,1166.0,,,02/17/2026,02/17/2026
48,2024,01,Occurrence,Race-Ethnicity,Multi-Race,CAN,Malignant neoplasms,ICD-10,45.0,,,02/17/2026,02/17/2026
49,2024,01,Occurrence,Race-Ethnicity,White,CAN,Malignant neoplasms,ICD-10,3013.0,,,02/17/2026,02/17/2026
50,2024,01,Occurrence,Race-Ethnicity,Other/Unknown,CAN,Malignant neoplasms,ICD-10,38.0,,,02/17/2026,02/17/2026
51,2024,01,Occurrence,Total Population,Total Population,CLD,Chronic lower respiratory diseases,ICD-10,1176.0,,,02/17/2026,02/17/2026
52,2024,01,Occurrence,Gender,Female,CLD,Chronic lower respiratory diseases,ICD-10,592.0,,,02/17/2026,02/17/2026
53,2024,01,Occurrence,Gender,Male,CLD,Chronic lower respiratory diseases,ICD-10,584.0,,,02/17/2026,02/17/2026
54,2024,01,Occurrence,Race-Ethnicity,American Indian/Alaska Native,CLD,Chronic lower respiratory diseases,ICD-10,,1,Cell suppressed for small numbers,02/17/2026,02/17/2026
55,2024,01,Occurrence,Race-Ethnicity,Asian,CLD,Chronic lower respiratory diseases,ICD-10,91.0,,,02/17/2026,02/17/2026
