report_month,report_month_label,age_group,deaths
2024-01-01,2024-01,1-4 years,24.0
2024-01-01,2024-01,15-24 years,264.0
2024-01-01,2024-01,25-34 years,581.0
2024-01-01,2024-01,35-44 years,930.0
2024-01-01,2024-01,45-54 years,1440.0
2024-01-01,2024-01,5-14 years,53.0
2024-01-01,2024-01,55-64 years,3133.0
2024-01-01,2024-01,65-74 years,5315.0
2024-01-01,2024-01,75-84 years,6823.0
2024-01-01,2024-01,85 years and over,9030.0
2024-01-01,2024-01,Under 1 year,132.0
2024-02-01,2024-02,1-4 years,26.0
2024-02-01,2024-02,15-24 years,205.0
2024-02-01,2024-02,25-34 years,545.0
2024-02-01,2024-02,35-44 years,837.0
2024-02-01,2024-02,45-54 years,1308.0
2024-02-01,2024-02,5-14 years,55.0
2024-02-01,2024-02,55-64 years,2696.0
2024-02-01,2024-02,65-74 years,4447.0
2024-02-01,2024-02,75-84 years,5984.0
2024-02-01,2024-02,85 years and over,7500.0
2024-02-01,2024-02,Under 1 year,132.0
2024-03-01,2024-03,1-4 years,16.0
2024-03-01,2024-03,15-24 years,229.0
2024-03-01,2024-03,25-34 years,581.0
2024-03-01,2024-03,35-44 years,882.0
2024-03-01,2024-03,45-54 years,1295.0
2024-03-01,2024-03,5-14 years,54.0
2024-03-01,2024-03,55-64 years,2761.0
2024-03-01,2024-03,65-74 years,4617.0
2024-03-01,2024-03,75-84 years,6124.0
2024-03-01,2024-03,85 years and over,7847.0
2024-03-01,2024-03,Under 1 year,150.0
2024-04-01,2024-04,1-4 years,27.0
2024-04-01,2024-04,15-24 years,244.0
2024-04-01,2024-04,25-34 years,526.0
2024-04-01,2024-04,35-44 years,791.0
2024-04-01,2024-04,45-54 years,1262.0
2024-04-01,2024-04,5-14 years,42.0
2024-04-01,2024-04,55-64 years,2694.0
2024-04-01,2024-04,65-74 years,4475.0
2024-04-01,2024-04,75-84 years,5932.0
2024-04-01,2024-04,85 years and over,7431.0
2024-04-01,2024-04,Under 1 year,149.0
2024-05-01,2024-05,1-4 years,37.0
2024-05-01,2024-05,15-24 years,244.0
2024-05-01,2024-05,25-34 years,517.0
2024-05-01,2024-05,35-44 years,875.0
2024-05-01,2024-05,45-54 years,1215.0
2024-05-01,2024-05,5-14 years,43.0
2024-05-01,2024-05,55-64 years,2700.0
2024-05-01,2024-05,65-74 years,4458.0
2024-05-01,2024-05,75-84 years,6091.0
2024-05-01,2024-05,85 years and over,7506.0
2024-05-01,2024-05,Under 1 year,133.0
2024-06-01,2024-06,1-4 years,27.0
2024-06-01,2024-06,15-24 years,235.0
2024-06-01,2024-06,25-34 years,579.0
2024-06-01,2024-06,35-44 years,892.0
2024-06-01,2024-06,45-54 years,1272.0
2024-06-01,2024-06,5-14 years,46.0
2024-06-01,2024-06,55-64 years,2634.0
2024-06-01,2024-06,65-74 years,4365.0
2024-06-01,2024-06,75-84 years,5818.0
2024-06-01,2024-06,85 years and over,7259.0
2024-06-01,2024-06,Under 1 year,155.0
2024-07-01,2024-07,1-4 years,32.0
2024-07-01,2024-07,15-24 years,235.0
2024-07-01,2024-07,25-34 years,597.0
2024-07-01,2024-07,35-44 years,842.0
2024-07-01,2024-07,45-54 years,1287.0
2024-07-01,2024-07,5-14 years,39.0
2024-07-01,2024-07,55-64 years,2787.0
2024-07-01,2024-07,65-74 years,4720.0
2024-07-01,2024-07,75-84 years,5916.0
2024-07-01,2024-07,85 years and over,7416.0
2024-07-01,2024-07,Under 1 year,157.0
2024-08-01,2024-08,1-4 years,20.0
2024-08-01,2024-08,15-24 years,238.0
2024-08-01,2024-08,25-34 years,494.0
2024-08-01,2024-08,35-44 years,854.0
2024-08-01,2024-08,45-54 years,1257.0
2024-08-01,2024-08,5-14 years,42.0
2024-08-01,2024-08,55-64 years,2690.0
2024-08-01,2024-08,65-74 years,4423.0
2024-08-01,2024-08,75-84 years,5922.0
2024-08-01,2024-08,85 years and over,7442.0
2024-08-01,2024-08,Under 1 year,129.0
2024-09-01,2024-09,1-4 years,27.0
2024-09-01,2024-09,15-24 years,238.0
2024-09-01,2024-09,25-34 years,482.0
2024-09-01,2024-09,35-44 years,770.0
2024-09-01,2024-09,45-54 years,1227.0
2024-09-01,2024-09,5-14 years,43.0
2024-09-01,2024-09,55-64 years,2564.0
2024-09-01,2024-09,65-74 years,4219.0
2024-09-01,2024-09,75-84 years,5708.0
2024-09-01,2024-09,85 years and over,7109.0
2024-09-01,2024-09,Under 1 year,139.0
2024-10-01,2024-10,1-4 years,24.0
2024-10-01,2024-10,15-24 years,223.0
2024-10-01,2024-10,25-34 years,542.0
2024-10-01,2024-10,35-44 years,796.0
2024-10-01,2024-10,45-54 years,1218.0
2024-10-01,2024-10,5-14 years,40.0
2024-10-01,2024-10,55-64 years,2664.0
2024-10-01,2024-10,65-74 years,4511.0
2024-10-01,2024-10,75-84 years,5962.0
2024-10-01,2024-10,85 years and over,7231.0
2024-10-01,2024-10,Under 1 year,157.0
2024-11-01,2024-11,1-4 years,28.0
2024-11-01,2024-11,15-24 years,232.0
2024-11-01,2024-11,25-34 years,498.0
2024-11-01,2024-11,35-44 years,785.0
2024-11-01,2024-11,45-54 years,1229.0
2024-11-01,2024-11,5-14 years,44.0
2024-11-01,2024-11,55-64 years,2627.0
2024-11-01,2024-11,65-74 years,4654.0
2024-11-01,2024-11,75-84 years,6360.0
2024-11-01,2024-11,85 years and over,7491.0
2024-11-01,2024-11,Under 1 year,135.0
2024-12-01,2024-12,1-4 years,38.0
2024-12-01,2024-12,15-24 years,222.0
2024-12-01,2024-12,25-34 years,522.0
2024-12-01,2024-12,35-44 years,835.0
2024-12-01,2024-12,45-54 years,1392.0
2024-12-01,2024-12,5-14 years,59.0
2024-12-01,2024-12,55-64 years,2821.0
2024-12-01,2024-12,65-74 years,5031.0
2024-12-01,2024-12,75-84 years,6807.0
2024-12-01,2024-12,85 years and over,8435.0
2024-12-01,2024-12,Under 1 year,129.0
2025-01-01,2025-01,1-4 years,27.0
2025-01-01,2025-01,15-24 years,250.0
2025-01-01,2025-01,25-34 years,530.0
2025-01-01,2025-01,35-44 years,948.0
2025-01-01,2025-01,45-54 years,1458.0
2025-01-01,2025-01,5-14 years,49.0
2025-01-01,2025-01,55-64 years,3244.0
2025-01-01,2025-01,65-74 years,5429.0
2025-01-01,2025-01,75-84 years,7383.0
2025-01-01,2025-01,85 years and over,9500.0
