report_month,report_month_label,gender,deaths
2024-01-01,2024-01,Female,13100.0
2024-01-01,2024-01,Male,14627.0
2024-02-01,2024-02,Female,11092.0
2024-02-01,2024-02,Male,12649.0
2024-03-01,2024-03,Female,11423.0
2024-03-01,2024-03,Male,13134.0
2024-04-01,2024-04,Female,11076.0
2024-04-01,2024-04,Male,12498.0
2024-05-01,2024-05,Female,11100.0
2024-05-01,2024-05,Male,12720.0
2024-06-01,2024-06,Female,10834.0
2024-06-01,2024-06,Male,12450.0
2024-07-01,2024-07,Female,11163.0
2024-07-01,2024-07,Male,12872.0
2024-08-01,2024-08,Female,10903.0
2024-08-01,2024-08,Male,12611.0
2024-09-01,2024-09,Female,10585.0
2024-09-01,2024-09,Male,11947.0
2024-10-01,2024-10,Female,10989.0
2024-10-01,2024-10,Male,12381.0
2024-11-01,2024-11,Female,11271.0
2024-11-01,2024-11,Male,12814.0
2024-12-01,2024-12,Female,12331.0
2024-12-01,2024-12,Male,13967.0
2025-01-01,2025-01,Female,13600.0
2025-01-01,2025-01,Male,15352.0
2025-02-01,2025-02,Female,11668.0
2025-02-01,2025-02,Male,13359.0
2025-03-01,2025-03,Female,11852.0
2025-03-01,2025-03,Male,13301.0
2025-04-01,2025-04,Female,10853.0
2025-04-01,2025-04,Male,12555.0
2025-05-01,2025-05,Female,11306.0
2025-05-01,2025-05,Male,12727.0
2025-06-01,2025-06,Female,10396.0
2025-06-01,2025-06,Male,12025.0
2025-07-01,2025-07,Female,10663.0
2025-07-01,2025-07,Male,12105.0
2025-08-01,2025-08,Female,10822.0
2025-08-01,2025-08,Male,12321.0
2025-09-01,2025-09,Female,10178.0
2025-09-01,2025-09,Male,11798.0
2025-10-01,2025-10,Female,10687.0
2025-10-01,2025-10,Male,12306.0
2025-11-01,2025-11,Female,10646.0
2025-11-01,2025-11,Male,11952.0
2025-12-01,2025-12,Female,11748.0
2025-12-01,2025-12,Male,13113.0
2026-01-01,2026-01,Female,12011.0
2026-01-01,2026-01,Male,13013.0
