report_month,report_month_label,race_ethnicity,deaths
2024-01-01,2024-01,American Indian/Alaska Native,120.0
2024-01-01,2024-01,Asian,3160.0
2024-01-01,2024-01,Black,2204.0
2024-01-01,2024-01,Hawaiian/Pacific Islander,123.0
2024-01-01,2024-01,Hispanic,6217.0
2024-01-01,2024-01,Multi-Race,267.0
2024-01-01,2024-01,Other/Unknown,231.0
2024-01-01,2024-01,White,15406.0
2024-02-01,2024-02,American Indian/Alaska Native,127.0
2024-02-01,2024-02,Asian,2659.0
2024-02-01,2024-02,Black,1918.0
2024-02-01,2024-02,Hawaiian/Pacific Islander,89.0
2024-02-01,2024-02,Hispanic,5418.0
2024-02-01,2024-02,Multi-Race,242.0
2024-02-01,2024-02,Other/Unknown,210.0
2024-02-01,2024-02,White,13079.0
2024-03-01,2024-03,American Indian/Alaska Native,131.0
2024-03-01,2024-03,Asian,2761.0
2024-03-01,2024-03,Black,1885.0
2024-03-01,2024-03,Hawaiian/Pacific Islander,107.0
2024-03-01,2024-03,Hispanic,5513.0
2024-03-01,2024-03,Multi-Race,244.0
2024-03-01,2024-03,Other/Unknown,223.0
2024-03-01,2024-03,White,13695.0
2024-04-01,2024-04,American Indian/Alaska Native,100.0
2024-04-01,2024-04,Asian,2632.0
2024-04-01,2024-04,Black,1884.0
2024-04-01,2024-04,Hawaiian/Pacific Islander,92.0
2024-04-01,2024-04,Hispanic,5254.0
2024-04-01,2024-04,Multi-Race,296.0
2024-04-01,2024-04,Other/Unknown,229.0
2024-04-01,2024-04,White,13091.0
2024-05-01,2024-05,American Indian/Alaska Native,116.0
2024-05-01,2024-05,Asian,2680.0
2024-05-01,2024-05,Black,1791.0
2024-05-01,2024-05,Hawaiian/Pacific Islander,97.0
2024-05-01,2024-05,Hispanic,5362.0
2024-05-01,2024-05,Multi-Race,268.0
2024-05-01,2024-05,Other/Unknown,212.0
2024-05-01,2024-05,White,13297.0
2024-06-01,2024-06,American Indian/Alaska Native,107.0
2024-06-01,2024-06,Asian,2596.0
2024-06-01,2024-06,Black,1799.0
2024-06-01,2024-06,Hawaiian/Pacific Islander,108.0
2024-06-01,2024-06,Hispanic,5379.0
2024-06-01,2024-06,Multi-Race,274.0
2024-06-01,2024-06,Other/Unknown,200.0
2024-06-01,2024-06,White,12822.0
2024-07-01,2024-07,American Indian/Alaska Native,118.0
2024-07-01,2024-07,Asian,2670.0
2024-07-01,2024-07,Black,1822.0
2024-07-01,2024-07,Hawaiian/Pacific Islander,109.0
2024-07-01,2024-07,Hispanic,5506.0
2024-07-01,2024-07,Multi-Race,242.0
2024-07-01,2024-07,Other/Unknown,260.0
2024-07-01,2024-07,White,13310.0
2024-08-01,2024-08,American Indian/Alaska Native,126.0
2024-08-01,2024-08,Asian,2598.0
2024-08-01,2024-08,Black,1851.0
2024-08-01,2024-08,Hawaiian/Pacific Islander,95.0
2024-08-01,2024-08,Hispanic,5313.0
2024-08-01,2024-08,Multi-Race,272.0
2024-08-01,2024-08,Other/Unknown,187.0
2024-08-01,2024-08,White,13077.0
2024-09-01,2024-09,American Indian/Alaska Native,93.0
2024-09-01,2024-09,Asian,2530.0
2024-09-01,2024-09,Black,1736.0
2024-09-01,2024-09,Hawaiian/Pacific Islander,86.0
