report_month,report_month_label,deaths
2024-01-01,2024-01,27728.0
2024-02-01,2024-02,23742.0
2024-03-01,2024-03,24559.0
2024-04-01,2024-04,23578.0
2024-05-01,2024-05,23823.0
2024-06-01,2024-06,23285.0
2024-07-01,2024-07,24037.0
2024-08-01,2024-08,23519.0
2024-09-01,2024-09,22539.0
2024-10-01,2024-10,23373.0
2024-11-01,2024-11,24089.0
2024-12-01,2024-12,26301.0
2025-01-01,2025-01,28955.0
2025-02-01,2025-02,25027.0
2025-03-01,2025-03,25156.0
2025-04-01,2025-04,23410.0
2025-05-01,2025-05,24035.0
2025-06-01,2025-06,22424.0
2025-07-01,2025-07,22774.0
2025-08-01,2025-08,23148.0
2025-09-01,2025-09,21980.0
2025-10-01,2025-10,22994.0
2025-11-01,2025-11,22600.0
2025-12-01,2025-12,24862.0
2026-01-01,2026-01,25026.0
